y_true,y_pred_baseline,y_pred_credits,base_p_average,base_p_flop,base_p_hit,p_average,p_flop,p_hit,base_confidence,confidence,p_true_baseline,p_true_credits,delta_p_true,baseline_correct,credits_correct,transition,id,title,original_title,main_genre,budget,runtime,production_scale,talent_score,cast_size,crew_size,known_actor_count,possible_franchise_flag,director_name,runtime_bucket,budget_bucket,case_type
hit,flop,hit,0.2609571431524731,0.38550656757280544,0.35353628927472147,0.0036609105904546863,0.006987245844261753,0.9893518435652836,0.38550656757280544,0.9893518435652836,0.35353628927472147,0.9893518435652836,0.6358155542905621,0,1,wrong_to_correct,3083,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,Comedy,1500000,129.0,indie,0.0608695652173913,213,30,0,0,Frank Capra,long,budget_low,strong_correct
hit,hit,hit,0.18576250374963846,0.25592399295562035,0.5583135032947412,0.040169596041779054,0.03375879266104045,0.9260716112971805,0.5583135032947412,0.9260716112971805,0.5583135032947412,0.9260716112971805,0.36775810800243935,1,1,stable_correct,948,Halloween,Halloween,Horror,300000,91.0,indie,0.3065217391304348,25,17,0,0,John Carpenter,medium,budget_low,strong_correct
hit,hit,hit,0.22863176742786248,0.22790803203346463,0.5434602005386729,0.023185461331858663,0.05729748900726635,0.919517049660875,0.5434602005386729,0.919517049660875,0.5434602005386729,0.919517049660875,0.37605684912220205,1,1,stable_correct,770,Gone with the Wind,Gone with the Wind,Drama,4000000,238.0,indie,0.015217391304347825,133,48,0,0,Victor Fleming,long,budget_low,strong_correct
hit,flop,hit,0.2522467270208863,0.4227968048894047,0.32495646808970907,0.038967056097807304,0.046668640320290396,0.9143643035819022,0.4227968048894047,0.9143643035819022,0.32495646808970907,0.9143643035819022,0.5894078354921932,0,1,wrong_to_correct,10895,Pinocchio,Pinocchio,Animation,2600000,88.0,indie,0.0,12,75,0,0,Ben Sharpsteen,short,budget_low,strong_correct
hit,flop,hit,0.22856823218850064,0.48533823430343864,0.28609353350806077,0.022039030949084607,0.06454545876630553,0.91341551028461,0.48533823430343864,0.91341551028461,0.28609353350806077,0.91341551028461,0.6273219767765492,0,1,wrong_to_correct,389,12 Angry Men,12 Angry Men,Drama,350000,96.0,indie,0.0608695652173913,17,17,0,0,Sidney Lumet,medium,budget_low,strong_correct
hit,flop,hit,0.258855051467374,0.41237050986619544,0.3287744386664306,0.07782169990075483,0.014087256317374813,0.9080910437818704,0.41237050986619544,0.9080910437818704,0.3287744386664306,0.9080910437818704,0.5793166051154399,0,1,wrong_to_correct,762,Monty Python and the Holy Grail,Monty Python and the Holy Grail,Adventure,400000,91.0,mid_scale,0.07608695652173912,19,16,0,1,Terry Gilliam,medium,budget_low,strong_correct
hit,hit,hit,0.2498040590642681,0.24494041488798657,0.5052555260477453,0.07031986747853664,0.02400554453012961,0.9056745879913337,0.5052555260477453,0.9056745879913337,0.5052555260477453,0.9056745879913337,0.40041906194358845,1,1,stable_correct,89,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,Adventure,48000000,127.0,indie,0.6785714285714286,51,46,2,0,Steven Spielberg,long,budget_high,strong_correct
hit,hit,hit,0.17793036203181845,0.23176209700702954,0.590307540961152,0.059412861094910605,0.039143595993598394,0.9014435429114911,0.590307540961152,0.9014435429114911,0.590307540961152,0.9014435429114911,0.3111360019503391,1,1,stable_correct,10331,Night of the Living Dead,Night of the Living Dead,Horror,114000,96.0,mid_scale,0.0608695652173913,13,7,0,0,George A. Romero,medium,budget_low,strong_correct
hit,hit,hit,0.11837476054795722,0.11086639780287169,0.7707588416491711,0.07142575113181031,0.03763369738806671,0.890940551480123,0.7707588416491711,0.890940551480123,0.7707588416491711,0.890940551480123,0.12018170983095189,1,1,stable_correct,609,Poltergeist,Poltergeist,Horror,10700000,114.0,indie,0.04565217391304347,16,26,0,1,Tobe Hooper,medium,budget_low,strong_correct
hit,hit,hit,0.21045798270142227,0.14563199688643114,0.6439100204121465,0.06182363924489461,0.053689459229745315,0.8844869015253601,0.6439100204121465,0.8844869015253601,0.6439100204121465,0.8844869015253601,0.24057688111321363,1,1,stable_correct,1547,The Lost Boys,The Lost Boys,Horror,8500000,97.0,indie,0.3521739130434782,27,61,0,0,Joel Schumacher,medium,budget_low,strong_correct
hit,flop,hit,0.2609571431524731,0.38550656757280544,0.35353628927472147,0.0036609105904546863,0.006987245844261753,0.9893518435652836,0.38550656757280544,0.9893518435652836,0.35353628927472147,0.9893518435652836,0.6358155542905621,0,1,wrong_to_correct,3083,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,Comedy,1500000,129.0,indie,0.0608695652173913,213,30,0,0,Frank Capra,long,budget_low,credits_rescue
hit,flop,hit,0.22856823218850064,0.48533823430343864,0.28609353350806077,0.022039030949084607,0.06454545876630553,0.91341551028461,0.48533823430343864,0.91341551028461,0.28609353350806077,0.91341551028461,0.6273219767765492,0,1,wrong_to_correct,389,12 Angry Men,12 Angry Men,Drama,350000,96.0,indie,0.0608695652173913,17,17,0,0,Sidney Lumet,medium,budget_low,credits_rescue
hit,flop,hit,0.2522467270208863,0.4227968048894047,0.32495646808970907,0.038967056097807304,0.046668640320290396,0.9143643035819022,0.4227968048894047,0.9143643035819022,0.32495646808970907,0.9143643035819022,0.5894078354921932,0,1,wrong_to_correct,10895,Pinocchio,Pinocchio,Animation,2600000,88.0,indie,0.0,12,75,0,0,Ben Sharpsteen,short,budget_low,credits_rescue
