y_true,y_pred,confidence,p_average,p_flop,p_hit,p_true_baseline,p_true_credits,id,title,original_title
hit,flop,0.49049983651742307,0.30449180588669417,0.49049983651742307,0.20500835759588287,0.25342394080029423,0.20500835759588287,45612,Source Code,Source Code
hit,average,0.5024876916326695,0.5024876916326695,0.3371835387455682,0.16032876962176226,0.28845421866823057,0.16032876962176226,1574,Chicago,Chicago
hit,hit,0.8702266007728086,0.12071695650376597,0.009056442723425547,0.8702266007728086,0.47449263460877333,0.8702266007728086,272,Batman Begins,Batman Begins
flop,average,0.3742551182875099,0.3742551182875099,0.31636232830784977,0.3093825534046403,0.27368249869895667,0.31636232830784977,11619,Flushed Away,Flushed Away
flop,hit,0.6835925523217192,0.20488789859470166,0.11151954908357908,0.6835925523217192,0.23047245982919937,0.11151954908357908,11015,The Relic,The Relic
hit,hit,0.35281872413139265,0.33845493955115485,0.3087263363174525,0.35281872413139265,0.4418453369694313,0.35281872413139265,2898,As Good as It Gets,As Good as It Gets
flop,flop,0.8178703442833928,0.12091280472380571,0.8178703442833928,0.06121685099280159,0.5417227911512097,0.8178703442833928,230266,Miss Julie,Miss Julie
flop,average,0.5178688654949025,0.5178688654949025,0.2949236663090555,0.1872074681960421,0.4549680490430721,0.2949236663090555,11661,Joyeux Noël,Joyeux Noël
average,flop,0.6215807996012721,0.20790150125163545,0.6215807996012721,0.1705176991470925,0.23768770322251717,0.20790150125163545,10647,Pay It Forward,Pay It Forward
hit,hit,0.3929453963832705,0.28732943312757786,0.3197251704891516,0.3929453963832705,0.35095618522392724,0.3929453963832705,16996,17 Again,17 Again
hit,hit,0.5129836905745997,0.306957874641,0.18005843478440028,0.5129836905745997,0.24655815774405754,0.5129836905745997,658,Goldfinger,Goldfinger
hit,average,0.5060577580605734,0.5060577580605734,0.18790552790015252,0.3060367140392741,0.32007318233275095,0.3060367140392741,52520,Underworld: Awakening,Underworld: Awakening
hit,hit,0.46595858871703333,0.3562648567206188,0.17777655456234795,0.46595858871703333,0.31244734167802996,0.46595858871703333,168259,Furious 7,Furious 7
hit,hit,0.42016547811381094,0.1745420596938377,0.4052924621923514,0.42016547811381094,0.3829611184194608,0.42016547811381094,55123,Tumbleweeds,Tumbleweeds
hit,flop,0.48115718751007813,0.19315983473751633,0.48115718751007813,0.32568297775240546,0.4222972479725644,0.32568297775240546,286565,Paper Towns,Paper Towns
hit,average,0.4512478057666679,0.4512478057666679,0.3639235589684241,0.184828635264908,0.36727630494016084,0.184828635264908,153518,The Angry Birds Movie,The Angry Birds Movie
flop,flop,0.42294503260992666,0.3681930448268036,0.42294503260992666,0.2088619225632697,0.4018101808432734,0.42294503260992666,137094,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit
hit,flop,0.41310780554061394,0.27016627921177133,0.41310780554061394,0.3167259152476149,0.38782696844580994,0.3167259152476149,264999,Magic Mike XXL,Magic Mike XXL
