y_true,y_pred_baseline,y_pred_credits,base_p_average,base_p_flop,base_p_hit,p_average,p_flop,p_hit,base_confidence,confidence,p_true_baseline,p_true_credits,delta_p_true,baseline_correct,credits_correct,transition,id,title,original_title,main_genre,budget,runtime,production_scale,talent_score,cast_size,crew_size,known_actor_count,possible_franchise_flag,director_name,runtime_bucket,budget_bucket
hit,flop,flop,0.31858853286292466,0.42798752633678117,0.25342394080029423,0.30449180588669417,0.49049983651742307,0.20500835759588287,0.42798752633678117,0.49049983651742307,0.25342394080029423,0.20500835759588287,-0.04841558320441136,0,0,stable_wrong,45612,Source Code,Source Code,Thriller,32000000,93.0,indie,0.03043478260869565,24,20,0,0,Duncan Jones,medium,budget_mid
hit,average,average,0.4170190970132327,0.2945266843185366,0.28845421866823057,0.5024876916326695,0.3371835387455682,0.16032876962176226,0.4170190970132327,0.5024876916326695,0.28845421866823057,0.16032876962176226,-0.1281254490464683,0,0,stable_wrong,1574,Chicago,Chicago,Action,45000000,113.0,mid_scale,0.18944099378881984,20,13,2,0,Rob Marshall,medium,budget_high
hit,hit,hit,0.3959014356528171,0.1296059297384096,0.47449263460877333,0.12071695650376597,0.009056442723425547,0.8702266007728086,0.47449263460877333,0.8702266007728086,0.47449263460877333,0.8702266007728086,0.3957339661640352,1,1,stable_correct,272,Batman Begins,Batman Begins,Action,150000000,140.0,large_scale,0.4127329192546583,113,137,5,1,Christopher Nolan,long,budget_high
flop,average,average,0.40116970268649704,0.27368249869895667,0.32514779861454624,0.3742551182875099,0.31636232830784977,0.3093825534046403,0.40116970268649704,0.3742551182875099,0.27368249869895667,0.31636232830784977,0.042679829608893105,0,0,stable_wrong,11619,Flushed Away,Flushed Away,Adventure,149000000,85.0,indie,0.10993788819875774,15,34,1,0,David Bowers,short,budget_high
flop,hit,hit,0.27588419113713675,0.23047245982919937,0.49364334903366386,0.20488789859470166,0.11151954908357908,0.6835925523217192,0.49364334903366386,0.6835925523217192,0.23047245982919937,0.11151954908357908,-0.11895291074562028,0,0,stable_wrong,11015,The Relic,The Relic,Horror,60000000,110.0,large_scale,0.0608695652173913,27,87,0,0,Peter Hyams,medium,budget_high
hit,hit,hit,0.3777356708180054,0.1804189922125634,0.4418453369694313,0.33845493955115485,0.3087263363174525,0.35281872413139265,0.4418453369694313,0.35281872413139265,0.4418453369694313,0.35281872413139265,-0.08902661283803864,1,1,stable_correct,2898,As Good as It Gets,As Good as It Gets,Comedy,50000000,139.0,indie,0.015217391304347825,56,35,0,0,James L. Brooks,long,budget_high
flop,flop,flop,0.23980769579874536,0.5417227911512097,0.21846951305004492,0.12091280472380571,0.8178703442833928,0.06121685099280159,0.5417227911512097,0.8178703442833928,0.5417227911512097,0.8178703442833928,0.2761475531321831,1,1,stable_correct,230266,Miss Julie,Miss Julie,Drama,5500000,120.0,indie,0.0,4,10,0,0,Liv Ullmann,medium,budget_low
flop,flop,average,0.4532879199342659,0.4549680490430721,0.09174403102266196,0.5178688654949025,0.2949236663090555,0.1872074681960421,0.4549680490430721,0.5178688654949025,0.4549680490430721,0.2949236663090555,-0.1600443827340166,1,0,correct_to_wrong,11661,Joyeux Noël,Joyeux Noël,Romance,22000000,116.0,large_scale,0.0,15,57,0,0,Christian Carion,medium,budget_mid
average,flop,flop,0.23768770322251717,0.4399059948777412,0.3224063018997416,0.20790150125163545,0.6215807996012721,0.1705176991470925,0.4399059948777412,0.6215807996012721,0.23768770322251717,0.20790150125163545,-0.02978620197088172,0,0,stable_wrong,10647,Pay It Forward,Pay It Forward,Drama,40000000,122.0,indie,0.015217391304347825,16,6,0,0,Mimi Leder,long,budget_mid
hit,hit,hit,0.33447978499105396,0.3145640297850188,0.35095618522392724,0.28732943312757786,0.3197251704891516,0.3929453963832705,0.35095618522392724,0.3929453963832705,0.35095618522392724,0.3929453963832705,0.04198921115934323,1,1,stable_correct,16996,17 Again,17 Again,Comedy,20000000,102.0,indie,0.04565217391304347,49,54,0,0,Burr Steers,medium,budget_mid
hit,flop,hit,0.271606444743619,0.48183539751232346,0.24655815774405754,0.306957874641,0.18005843478440028,0.5129836905745997,0.48183539751232346,0.5129836905745997,0.24655815774405754,0.5129836905745997,0.26642553283054216,0,1,wrong_to_correct,658,Goldfinger,Goldfinger,Adventure,2500000,110.0,mid_scale,0.10993788819875774,27,13,1,0,Guy Hamilton,medium,budget_low
hit,average,average,0.43052269753997674,0.2494041201272724,0.32007318233275095,0.5060577580605734,0.18790552790015252,0.3060367140392741,0.43052269753997674,0.5060577580605734,0.32007318233275095,0.3060367140392741,-0.014036468293476823,0,0,stable_wrong,52520,Underworld: Awakening,Underworld: Awakening,Fantasy,70000000,88.0,large_scale,0.0,31,41,0,0,Måns Mårlind,short,budget_high
